,word,total_value
0,배공,0.33404657
1,빠르,1.5838803
2,굿,1.2179046
3,택배,1.389096
4,엉망,1.3391274
5,용,1.0699642
6,저희,1.15728
7,집,1.1447802
8,밑,1.1235167
9,층,1.1206174
10,말,1.053216
11,없이,1.2699959
12,놔두,1.2923903
13,아주,1.2070345
14,좋,1.419431
15,아요,1.4111439
16,바지,1.2859983
17,정말,1.2886697
18,아서,1.4347391
19,2,1.3306894
20,개,1.4589344
21,더,1.2701687
22,구매,1.3998291
23,했,1.3623077
24,어요,1.3545847
25,가격,1.576059
26,대박,1.0515981
27,입니다,1.3099198
28,바느질,1.499034
29,조금,1.3446207
30,엉성,1.5794246
31,긴,1.4845071
32,지만,1.3918136
33,편하,1.568221
34,가성,1.4486221
35,비,1.2204651
36,최고,1.1176925
37,예요,1.3432895
38,선물,1.5943211
39,빨리,1.5124731
40,받,1.4553263
41,전달,1.2996199
42,했어야,1.3769363
43,상품,1.5422691
44,었,1.350003
45,는데,1.308944
46,머그,0.5963993
47,컵,1.1447407
48,만,1.143239
49,와서,1.3479816
50,당황,1.5071834
51,습니다,1.4295112
52,전화,1.4960706
53,더니,1.1510994
54,바로,1.2945881
55,주,1.4602541
56,신다,1.4692837
57,배송,1.584353
58,누락,1.5466894
59,되,1.2815248
60,어,1.164508
61,있,1.3133218
62,네요,1.3149806
63,확인,1.5685896
64,안,1.2687783
65,으면,1.3744999
66,큰일날,1.0445433
67,뻔,0.91904837
68,이렇게,1.3422269
69,오래,1.4201056
70,걸렸,1.8215693
71,사,1.2979444
72,거,1.4191014
73,다시,1.3990389
74,생각,1.5499474
75,같,1.3967335
76,아쉽,1.6073773
77,민트,1.3591343
78,색상,1.4747072
79,예뻐요,1.4586914
80,옆,1.0686078
81,손잡이,1.2531391
82,용도,1.2066208
83,로,1.0214342
84,사용,1.4309719
85,ㅎㅎ,1.2219667
86,비추,1.2459755
87,합니다,1.4310083
88,계란,1.0661628
89,뒤집,1.2038181
